@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

cmc_labels,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,64,83,0,43.537415,56.462585,0,0.135968,0.377333,0.602556,87.455641,129.618211,226.946505,848.374574,-621.428069,1.543854,5.771256,-4.227402,43.701127,0.297287,2840.103589,0.516129,32,0.341176,29,0.658824,56,0.483871,30,0.52459,0.516129,0.520325,0.566034,0.435374,0.293604,0.706396,0.564626,0.443246,0.435374,0.43844,0.558516,0.002,0.011,0.000744,0.009824,151641,146684,18173,?
cmc_labels,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,66,82,0,44.594595,55.405405,0,0.154404,0.374026,0.604116,86.749351,130.055136,228.17232,841.299199,-613.126879,1.541705,5.684454,-4.142749,45.739189,0.309049,2972.102509,0.52381,33,0.282353,24,0.717647,61,0.47619,30,0.578947,0.52381,0.55,0.632026,0.445946,0.283191,0.716809,0.554054,0.457255,0.445946,0.45052,0.580788,0.003,0.01,0.001394,0.010289,151532,146575,18282,?
cmc_labels,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,62,86,0,41.891892,58.108108,0,0.103662,0.389752,0.617398,90.396858,132.914478,228.17232,872.003843,-643.831523,1.541705,5.891918,-4.350213,38.921765,0.262985,2529.110772,0.492063,31,0.388235,33,0.611765,52,0.507937,32,0.484375,0.492063,0.488189,0.560504,0.418919,0.318187,0.681813,0.581081,0.418368,0.418919,0.418445,0.559169,0.001,0.012,0.000714,0.012153,151540,146575,18282,?
cmc_labels,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,63,85,0,42.567568,57.432432,0,0.12157,0.385277,0.606418,89.358792,130.550723,228.17232,870.61739,-642.44507,1.541705,5.88255,-4.340845,41.884325,0.283002,2721.615932,0.47619,30,0.364706,31,0.635294,54,0.52381,33,0.491803,0.47619,0.483871,0.555182,0.425676,0.304037,0.695963,0.574324,0.432014,0.425676,0.427713,0.550074,0.001,0.01,0.000826,0.009767,151532,146575,18282,?
cmc_labels,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,66,81,0,44.897959,55.102041,0,0.133784,0.369779,0.601678,85.866457,129.703795,226.027303,826.849161,-600.821859,1.537601,5.624824,-4.087224,46.317036,0.315082,3008.759997,0.555556,35,0.428571,36,0.571429,48,0.444444,28,0.492958,0.555556,0.522388,0.569255,0.44898,0.316696,0.683304,0.55102,0.441866,0.44898,0.443881,0.570811,0.001,0.01,0.000699,0.00962,151641,146684,18173,?
cmc_labels,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,63,84,0,42.857143,57.142857,0,0.126115,0.381088,0.60988,88.492556,131.471886,226.027303,849.762104,-623.734802,1.537601,5.780695,-4.243094,42.638,0.290054,2769.769428,0.412698,26,0.333333,28,0.666667,56,0.587302,37,0.481481,0.412698,0.444444,0.566515,0.428571,0.30412,0.69588,0.571429,0.43404,0.428571,0.429565,0.573237,0.001,0.01,0.000762,0.009718,151641,146684,18173,?
cmc_labels,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,63,84,0,42.857143,57.142857,0,0.100524,0.373561,0.599938,86.744638,129.328621,226.027303,837.002251,-610.974948,1.537601,5.693893,-4.156292,43.720662,0.297419,2840.099238,0.571429,36,0.452381,38,0.547619,46,0.428571,27,0.486486,0.571429,0.525547,0.571051,0.428571,0.328869,0.671131,0.571429,0.419427,0.428571,0.42158,0.551202,0.001,0.009,0.00066,0.009578,151641,146684,18173,?
cmc_labels,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,69,78,0,46.938776,53.061224,0,0.203418,0.357708,0.587,83.063324,126.539498,226.027303,782.13629,-556.108987,1.537601,5.320655,-3.783054,55.65882,0.378631,3615.603386,0.492063,31,0.22619,19,0.77381,65,0.507937,32,0.62,0.492063,0.548673,0.652872,0.469388,0.259175,0.740825,0.530612,0.492738,0.469388,0.473879,0.614458,0.001,0.01,0.00068,0.009901,151641,146684,18173,?
cmc_labels,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,65,82,0,44.217687,55.782313,0,0.137768,0.376186,0.603293,87.354183,130.051771,226.027303,843.793867,-617.766564,1.537601,5.740094,-4.202494,44.033382,0.299547,2860.413586,0.539683,34,0.333333,28,0.666667,56,0.460317,29,0.548387,0.539683,0.544,0.612528,0.442177,0.298537,0.701463,0.557823,0.443907,0.442177,0.443012,0.572724,0.001,0.01,0.000668,0.010008,151641,146684,18173,?
cmc_labels,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,58,89,0,39.455782,60.544218,0,0.05278,0.406735,0.627573,94.44801,135.28596,226.027303,916.582275,-690.554972,1.537601,6.235254,-4.697653,27.948267,0.190124,1815.522651,0.507937,32,0.452381,38,0.547619,46,0.492063,31,0.457143,0.507937,0.481203,0.542234,0.394558,0.34036,0.65964,0.605442,0.388551,0.394558,0.390644,0.520935,0.001,0.01,0.000602,0.009554,151641,146684,18173,?
