@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

carintstring,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1556,172,163,9,0,94.767442,5.232558,0,0.888561,0.254845,0.317451,111.692788,94.28399,205.600818,178.264663,27.336155,1.195354,1.036422,0.158931,-0.978005,-0.005686,-80.725545,0.950413,115,0.019608,1,0.980392,50,0.049587,6,0.991379,0.950413,0.970464,0.975531,0.947674,0.02418,0.97582,0.052326,0.95256,0.947674,0.948965,0.971519,0.138,0,0.136679,0.000303,15556,134892,17252,?
carintstring,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,162,11,0,93.641618,6.358382,0,0.863064,0.25578,0.320063,111.697916,94.672671,207.771695,180.434588,27.337108,1.200992,1.042974,0.158018,-1.124992,-0.006503,-92.90508,0.950413,115,0.057692,3,0.942308,49,0.049587,6,0.974576,0.950413,0.962343,0.955976,0.936416,0.052335,0.947665,0.063584,0.940565,0.936416,0.936758,0.955537,0.143,0,0.138462,0.000289,15556,134807,17337,?
carintstring,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,164,9,0,94.797688,5.202312,0,0.886739,0.254335,0.317924,111.066854,94.0399,207.771695,178.264663,29.507033,1.200992,1.030432,0.170561,-0.142913,-0.000826,-11.802211,0.975207,118,0.057692,3,0.942308,49,0.024793,3,0.975207,0.975207,0.975207,0.964479,0.947977,0.046093,0.953907,0.052023,0.94931,0.947977,0.948169,0.96094,0.134,0.001,0.132409,0.000349,15556,134807,17337,?
carintstring,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,164,9,0,94.797688,5.202312,0,0.888873,0.255299,0.31931,111.487562,94.449824,207.771695,179.434588,28.337108,1.200992,1.037194,0.163798,-0.972988,-0.005624,-80.352222,0.958678,116,0.019231,1,0.980769,51,0.041322,5,0.991453,0.958678,0.97479,0.981643,0.947977,0.023996,0.976004,0.052023,0.950868,0.947977,0.948369,0.971254,0.153,0.001,0.150244,0.000334,15556,134807,17337,?
carintstring,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,166,7,0,95.953757,4.046243,0,0.914453,0.254335,0.31805,111.066854,94.07724,207.771695,178.6797,29.091995,1.200992,1.032831,0.168162,0.459971,0.002659,37.985739,0.958678,116,0,0,1,52,0.041322,5,1,0.958678,0.978903,0.985617,0.959538,0.008899,0.991101,0.040462,0.964171,0.959538,0.960705,0.978114,0.154,0,0.147382,0.000261,15556,134807,17337,?
carintstring,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,161,12,0,93.063584,6.936416,0,0.854571,0.256744,0.320815,111.887642,94.675002,210.310948,181.604513,28.706435,1.21567,1.049737,0.165933,0.584186,0.003377,48.30884,0.933884,113,0.038462,2,0.961538,50,0.066116,8,0.982609,0.933884,0.957627,0.962333,0.930636,0.040405,0.959595,0.069364,0.936855,0.930636,0.932442,0.957511,0.125,0.001,0.121838,0.000302,15556,134807,17337,?
carintstring,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,161,12,0,93.063584,6.936416,0,0.849084,0.256744,0.322064,111.887642,95.043532,210.310948,182.01955,28.291398,1.21567,1.052136,0.163534,-0.193399,-0.001118,-15.992991,0.966942,117,0.096154,5,0.903846,47,0.033058,4,0.959016,0.966942,0.962963,0.940162,0.930636,0.074492,0.925508,0.069364,0.931444,0.930636,0.929731,0.932135,0.141,0.001,0.139851,0.000314,15556,134807,17337,?
carintstring,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,165,8,0,95.375723,4.624277,0,0.89886,0.253854,0.316786,110.628119,93.485944,210.310948,177.6797,32.631248,1.21567,1.02705,0.18862,2.981302,0.017233,246.536537,0.975207,118,0.057692,3,0.942308,49,0.024793,3,0.975207,0.975207,0.975207,0.965909,0.953757,0.048487,0.951513,0.046243,0.955202,0.953757,0.953387,0.964544,0.146,0,0.144317,0.000355,15556,134807,17337,?
carintstring,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,157,16,0,90.751445,9.248555,0,0.805809,0.259152,0.325412,112.937245,96.031499,210.310948,185.3594,24.951548,1.21567,1.071442,0.144229,-1.644633,-0.009507,-136.00167,0.92562,112,0.076923,4,0.923077,48,0.07438,9,0.965517,0.92562,0.945148,0.932454,0.907514,0.069176,0.930824,0.092486,0.914321,0.907514,0.909438,0.929098,0.15,0,0.138245,0.00027,15556,134807,17337,?
carintstring,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1556,172,162,10,0,94.186047,5.813953,0,0.872261,0.255329,0.318974,111.901476,94.732736,205.704619,178.849625,26.854994,1.195957,1.039823,0.156134,-1.799016,-0.010459,-148.499971,0.966942,117,0.058824,3,0.941176,48,0.033058,4,0.975,0.966942,0.970954,0.9573,0.94186,0.051484,0.948516,0.05814,0.942297,0.94186,0.941729,0.954891,0.132,0,0.13034,0.000317,15556,134892,17252,?
